"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000041215.17",-1.63760846975399,4.12187587381362,45.5427215997785,4.20286889904245e-08,9.09097851404283e-08
"ENSMUSG00000028341.10",-2.89971736196292,2.235880158286,45.5267844415134,4.22994821076215e-08,9.14568916500441e-08
"ENSMUSG00000046785.9",-2.08127022062113,3.48929080293196,45.4602093040337,4.28720281094183e-08,9.26361417503506e-08
"ENSMUSG00000024759.15",-1.62943014374727,4.01599360143033,45.4531499399019,4.29382866518512e-08,9.27597409593461e-08
"ENSMUSG00000025245.15",-1.30396413558047,4.89496880674363,45.406600132953,4.34123063827613e-08,9.37639902935979e-08
"ENSMUSG00000036916.14",-2.07417112618593,3.29081383666394,45.3584383796422,4.39335448552386e-08,9.48497821263393e-08
"ENSMUSG00000005779.13",-0.739894028958333,6.67809935379599,45.3496258299853,4.40045939672106e-08,9.49831509825439e-08
"ENSMUSG00000031320.10",-0.657803593916393,7.32033564170038,45.2870273262262,4.46682818783743e-08,9.6375088055258e-08
"ENSMUSG00000041459.16",-0.809818686099693,6.50273062296817,45.2828988098324,4.47126261774328e-08,9.64504459370822e-08
"ENSMUSG00000044864.17",-1.85108126830998,3.7359522348345,45.2155748195399,4.54512648262803e-08,9.79612488111875e-08
"ENSMUSG00000056602.14",-3.66952614728977,1.40788813002547,45.2375702377864,4.55769267412709e-08,9.82114209308009e-08
"ENSMUSG00000024217.11",-1.46062152779775,4.41731966169438,45.0462187935622,4.73277396195826e-08,1.01919829517192e-07
"ENSMUSG00000039156.20",-0.97718338675073,5.90482193409799,45.037184332657,4.74253839472046e-08,1.02108636196609e-07
"ENSMUSG00000009073.17",-1.09411023989157,5.45810483999409,44.8594939765303,4.949500114691e-08,1.06452709312611e-07
"ENSMUSG00000038132.7",-1.93390544911798,3.37870233745634,44.8233221937413,4.9948728176597e-08,1.07315895528573e-07
"ENSMUSG00000046329.15",-1.62354538357759,4.06109018915731,44.810964067528,5.00841664679618e-08,1.07584318994309e-07
